Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
11,Denny Hamlin,2,2,1,1,1,15,2.3,0,52,52,35,67.31,43,367,100.0,146,39.8,367,137.0,57
5,Kyle Larson,6,1,3,2,1,24,3.0,2,78,76,39,50,86,364,99.2,156,42.5,367,135.8,54
42,Ross Chastain,23,6,4,3,1,30,8.8,19,122,103,52,42.62,18,287,78.2,1,0.3,367,105.0,44
19,Martin Truex Jr,10,24,14,4,1,24,11.0,40,142,102,67,47.18,26,270,73.6,1,0.3,367,102.4,38
4,Kevin Harvick,9,9,7,5,1,23,7.0,0,107,107,58,54.21,14,350,95.4,20,5.5,367,110.1,44
1,Kurt Busch,3,3,2,6,1,20,5.0,11,87,76,53,60.92,30,364,99.2,13,3.5,367,115.2,44
2,Brad Keselowski,16,13,8,7,3,24,13.7,-2,125,127,47,37.6,4,247,67.3,0,0.0,367,83.7,30
22,Joey Logano,11,5,5,8,3,25,7.6,5,106,101,57,53.77,3,359,97.8,0,0.0,367,102.7,34
17,Chris Buescher,34,14,6,9,3,34,15.0,8,125,117,29,23.2,2,204,55.6,0,0.0,367,75.3,28
3,Austin Dillon,21,22,10,10,4,32,16.8,12,129,117,29,22.48,1,155,42.2,0,0.0,367,72.9,27
41,Cole Custer,31,21,11,11,4,31,20.2,-15,133,148,16,12.03,1,56,15.3,0,0.0,367,63.9,26
37,Ryan Preece,18,16,12,12,5,29,15.3,-2,129,131,43,33.33,2,161,43.9,0,0.0,367,76.8,25
99,Daniel Suarez,26,18,13,13,10,34,20.0,8,139,131,21,15.11,2,85,23.2,0,0.0,367,65.6,24
6,Ryan Newman,19,20,9,14,3,31,17.0,-1,134,135,32,23.88,4,154,42.0,0,0.0,367,70.4,23
7,Corey Lajoie,25,19,15,15,3,25,13.3,7,122,115,47,38.52,1,282,76.8,0,0.0,367,77.7,23
10,Aric Almirola,8,15,18,16,4,22,12.5,-12,93,105,45,48.39,4,264,71.9,0,0.0,366,79.4,24
47,Ricky Stenhouse Jr,29,12,17,17,9,34,17.7,-5,135,140,31,22.96,3,99,27.0,0,0.0,366,64.7,20
8,Tyler Reddick,7,11,16,18,3,23,10.1,-14,93,107,56,60.22,1,295,80.4,0,0.0,366,83.9,23
14,Chase Briscoe,24,23,20,19,5,34,22.8,-25,114,139,9,7.89,0,8,2.2,0,0.0,366,54.0,18
20,Christopher Bell,13,4,22,20,1,24,12.6,4,108,104,45,41.67,19,244,66.5,10,2.7,366,79.7,26
23,Bubba Wallace,17,17,19,21,10,30,18.7,-17,108,125,11,10.19,0,41,11.2,0,0.0,366,58.3,16
12,Ryan Blaney,1,8,21,22,1,23,9.6,4,81,77,48,59.26,20,279,76.0,17,4.6,366,91.1,24
21,Matt DiBenedetto,30,28,23,23,10,35,23.4,-1,84,85,4,4.76,1,24,6.5,0,0.0,365,49.9,14
38,Anthony Alfredo,32,29,26,24,11,34,27.7,-8,72,80,2,2.78,1,1,0.3,0,0.0,364,41.6,13
77,Justin Haley,20,26,25,25,19,35,26.8,-10,49,59,0,0,3,0,0.0,0,0.0,364,44.7,0
48,Alex Bowman,5,25,27,26,1,36,26.3,6,84,78,6,7.14,3,17,4.6,0,0.0,363,47.2,11
78,BJ McLeod,27,30,29,27,3,35,29.0,-15,58,73,5,8.62,0,6,1.6,0,0.0,359,40.2,0
52,Josh Bilicki,28,31,28,28,1,36,29.8,2,60,58,6,10,0,7,1.9,0,0.0,359,36.2,9
15,Joey Gase,35,32,31,29,1,37,32.1,3,27,24,0,0,0,4,1.1,1,0.3,357,31.5,0
00,Quin Houff,37,33,30,30,11,37,32.8,-1,20,21,0,0,0,1,0.3,0,0.0,355,30.2,7
9,Chase Elliott,4,10,24,31,2,34,12.4,11,115,104,46,40,3,280,76.3,0,0.0,327,78.9,9
43,Erik Jones,22,27,32,32,1,35,27.7,-21,58,79,1,1.72,0,5,1.4,2,0.8,264,44.8,5
51,Cody Ware,33,34,33,33,8,36,32.7,-15,47,62,4,8.51,0,0,0.0,0,0.0,209,32.7,0
24,William Byron,14,7,34,34,6,36,25.1,28,101,73,19,18.81,3,82,22.3,0,0.0,199,61.8,3
18,Kyle Busch,12,35,35,35,6,24,26.9,-6,34,40,25,73.53,1,121,33.0,0,0.0,125,54.2,2
53,James Davison,36,36,36,36,26,36,35.5,-7,2,9,0,0,0,0,0.0,0,0.0,50,24.7,1
34,Michael McDowell,15,37,37,37,6,22,35.1,13,17,4,11,64.71,2,22,6.0,0,0.0,30,33.2,1
