Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
19,Martin Truex Jr,7,3,3,1,1,13,4.3,14,46,32,46,100,41,500,100.0,20,4.0,500,126.8,56
9,Chase Elliott,5,5,4,2,1,19,6.3,25,72,47,68,94.44,19,483,96.6,0,0.0,500,114.5,49
11,Denny Hamlin,2,2,1,3,1,18,1.8,5,25,20,25,100,81,498,99.6,276,55.2,500,139.8,52
24,William Byron,3,11,8,4,1,15,6.8,8,65,57,63,96.92,22,500,100.0,9,1.8,500,107.5,42
5,Kyle Larson,19,10,5,5,2,22,8.3,17,77,60,72,93.51,21,476,95.2,0,0.0,500,102.4,38
22,Joey Logano,1,21,9,6,1,22,7.9,-11,34,45,32,94.12,3,420,84.0,6,1.2,500,94.2,33
20,Christopher Bell,23,17,6,7,1,27,10.8,26,83,57,62,74.7,14,414,82.8,9,1.8,500,95.7,31
8,Tyler Reddick,13,12,11,8,4,36,14.6,25,111,86,77,69.37,9,347,69.4,0,0.0,500,80.6,32
4,Kevin Harvick,9,13,7,9,5,21,13.3,-6,82,88,47,57.32,7,300,60.0,0,0.0,500,80.1,28
18,Kyle Busch,12,6,15,10,2,25,11.7,17,67,50,48,71.64,11,406,81.2,0,0.0,500,92.5,29
12,Ryan Blaney,4,1,2,11,1,19,4.1,20,40,20,37,92.5,29,491,98.2,157,31.4,500,114.9,46
21,Matt DiBenedetto,22,16,14,12,9,29,17.1,17,73,56,28,38.36,0,269,53.8,0,0.0,500,73.0,25
17,Chris Buescher,15,18,17,13,3,24,15.7,-8,64,72,36,56.25,4,170,34.0,0,0.0,500,72.7,24
3,Austin Dillon,18,9,16,14,1,28,14.3,2,76,74,48,63.16,11,318,63.6,0,0.0,500,79.7,23
47,Ricky Stenhouse Jr,6,20,13,15,4,29,18.7,-28,80,108,24,30,0,127,25.4,0,0.0,500,65.2,22
23,Bubba Wallace,25,23,10,16,1,28,16.2,-1,60,61,27,45,2,194,38.8,23,4.6,500,70.6,21
42,Ross Chastain,27,30,19,17,2,30,24.0,-18,55,73,3,5.45,0,16,3.2,0,0.0,500,55.0,20
41,Cole Custer,26,29,18,18,13,32,24.3,3,66,63,3,4.55,0,6,1.2,0,0.0,500,54.0,19
6,Ryan Newman,8,15,12,19,1,29,13.7,-29,52,81,29,55.77,0,304,60.8,0,0.0,499,66.8,18
10,Aric Almirola,31,14,21,20,5,31,21.0,-5,59,64,12,20.34,4,37,7.4,0,0.0,499,59.3,17
1,Kurt Busch,21,8,22,21,4,33,16.7,7,82,75,37,45.12,4,232,46.4,0,0.0,498,68.0,17
15,James Davison,37,34,26,22,22,37,32.7,6,15,9,0,0,1,0,0.0,0,0.0,494,34.0,15
52,Josh Bilicki,33,32,23,23,22,36,31.3,-1,18,19,0,0,0,0,0.0,0,0.0,493,36.0,14
00,Quin Houff,29,33,25,24,10,37,31.4,-9,19,28,0,0,0,0,0.0,0,0.0,493,32.5,13
53,JJ Yeley,28,35,27,25,17,37,33.4,0,11,11,0,0,0,0,0.0,0,0.0,492,34.0,0
38,Anthony Alfredo,35,28,24,26,1,35,27.5,-4,40,44,0,0,7,2,0.4,0,0.0,492,42.3,11
14,Chase Briscoe,24,26,20,27,8,31,23.9,-12,59,71,11,18.64,0,39,7.8,0,0.0,491,41.7,10
51,Cody Ware,32,36,28,28,6,37,32.8,-3,9,12,0,0,0,0,0.0,0,0.0,490,33.8,0
78,BJ McLeod,36,37,29,29,20,37,33.9,5,22,17,0,0,2,0,0.0,0,0.0,478,37.6,0
43,Erik Jones,16,19,30,30,6,25,21.0,-23,55,78,5,9.09,0,35,7.0,0,0.0,403,48.0,7
34,Michael McDowell,14,27,31,31,11,31,25.9,-15,64,79,1,1.56,0,12,2.4,0,0.0,387,42.7,6
99,Daniel Suarez,11,22,32,32,3,35,24.7,-33,62,95,8,12.9,34,52,10.4,0,0.0,386,58.1,5
2,Brad Keselowski,10,7,33,33,1,29,15.8,10,42,32,30,71.43,5,319,63.8,0,0.0,385,76.8,12
48,Alex Bowman,20,4,34,34,2,29,14.5,4,60,56,47,78.33,18,338,67.6,0,0.0,384,80.3,13
77,Justin Haley,30,25,35,35,23,36,30.2,10,50,40,0,0,0,0,0.0,0,0.0,383,37.3,0
37,Ryan Preece,17,31,36,36,1,35,26.3,-18,16,34,10,62.5,32,165,33.0,0,0.0,382,68.5,1
7,Corey Lajoie,34,24,37,37,9,34,26.5,12,65,53,8,12.31,0,30,6.0,0,0.0,374,42.3,1
