Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
19,Martin Truex Jr,4,4,1,1,1,20,1.5,5,37,32,23,62.16,62,292,99.7,248,84.6,293,150.0,60
5,Kyle Larson,14,12,2,2,2,27,7.3,27,105,78,58,55.24,11,277,94.5,0,0.0,293,112.6,48
18,Kyle Busch,3,7,3,3,1,36,8.2,27,89,62,27,30.34,17,224,76.5,9,3.1,293,107.3,43
24,William Byron,5,5,4,4,2,27,6.4,1,80,79,42,52.5,3,288,98.3,0,0.0,293,111.5,43
11,Denny Hamlin,7,6,6,5,1,20,4.3,0,79,79,49,62.03,13,292,99.7,5,1.7,293,116.2,48
4,Kevin Harvick,2,1,8,6,1,31,8.2,-2,93,95,45,48.39,9,286,97.6,10,3.4,293,97.3,37
9,Chase Elliott,6,13,9,7,4,32,11.1,25,116,91,54,46.55,3,256,87.4,0,0.0,293,91.0,33
12,Ryan Blaney,16,8,5,8,2,26,8.4,4,88,84,48,54.55,5,286,97.6,0,0.0,293,97.2,35
17,Chris Buescher,11,3,10,9,1,25,11.6,-4,97,101,57,58.76,6,279,95.2,1,0.3,293,85.5,29
6,Ryan Newman,20,15,13,10,7,30,14.5,6,114,108,52,45.61,0,225,76.8,0,0.0,292,75.7,27
14,Chase Briscoe,22,14,11,11,2,34,14.8,-3,89,92,29,32.58,0,185,63.1,0,0.0,292,77.2,26
8,Tyler Reddick,10,9,12,12,1,15,7.0,-1,88,89,53,60.23,11,293,100.0,2,0.7,292,93.8,36
22,Joey Logano,12,10,14,13,1,24,6.2,-5,104,109,51,49.04,6,292,99.7,0,0.0,292,104.9,33
20,Christopher Bell,21,2,7,14,1,28,11.2,7,104,97,57,54.81,9,223,76.1,3,1.0,292,85.8,28
42,Ross Chastain,18,23,15,15,1,28,15.3,-1,62,63,25,40.32,0,131,44.7,10,3.4,291,75.9,22
3,Austin Dillon,9,24,16,16,7,34,17.7,-12,75,87,10,13.33,0,53,18.1,0,0.0,291,69.8,21
48,Alex Bowman,19,11,17,17,2,29,14.1,1,111,110,50,45.05,3,193,65.9,0,0.0,291,74.0,21
43,Erik Jones,26,18,19,18,4,27,16.6,1,92,91,23,25,20,102,34.8,0,0.0,291,65.6,19
21,Matt DiBenedetto,8,19,18,19,5,31,14.9,-12,75,87,22,29.33,0,108,36.9,0,0.0,290,69.7,18
47,Ricky Stenhouse Jr,28,16,21,20,15,36,23.0,22,119,97,3,2.52,11,0,0.0,0,0.0,290,55.9,17
23,Bubba Wallace,23,26,23,21,5,34,22.4,26,116,90,6,5.17,5,3,1.0,0,0.0,290,59.9,16
7,Corey Lajoie,30,21,25,22,12,36,22.8,10,108,98,5,4.63,0,1,0.3,0,0.0,290,53.7,15
99,Daniel Suarez,15,22,22,23,3,31,23.5,-3,86,89,10,11.63,0,21,7.2,0,0.0,290,55.7,14
2,Brad Keselowski,1,27,20,24,1,35,19.9,-34,92,126,4,4.35,28,34,11.6,4,1.4,290,64.4,13
37,Ryan Preece,29,25,24,25,19,35,24.4,-5,78,83,0,0,0,0,0.0,0,0.0,290,52.3,12
38,Anthony Alfredo,25,20,28,26,5,34,26.7,-19,88,107,7,7.95,0,4,1.4,0,0.0,289,45.2,11
34,Michael McDowell,13,17,26,27,7,36,25.2,-2,89,91,2,2.25,13,8,2.7,0,0.0,288,52.2,10
77,Justin Haley,31,28,27,28,6,36,28.2,-6,69,75,5,7.25,3,2,0.7,0,0.0,288,38.4,0
53,JJ Yeley,34,29,30,29,4,36,28.8,-16,57,73,7,12.28,0,4,1.4,0,0.0,286,40.2,0
00,Quin Houff,35,30,29,30,8,36,30.9,-10,44,54,0,0,0,1,0.3,0,0.0,286,35.5,7
15,James Davison,36,32,31,31,9,37,32.3,-5,46,51,0,0,0,1,0.3,0,0.0,286,30.5,6
78,BJ McLeod,32,31,32,32,18,36,31.3,-12,45,57,0,0,0,0,0.0,0,0.0,285,35.2,0
52,Josh Bilicki,37,34,33,33,15,37,33.4,-11,42,53,1,2.38,0,0,0.0,0,0.0,245,29.0,4
51,Cody Ware,33,33,34,34,1,36,33.1,-5,54,59,5,9.26,0,4,1.4,1,0.5,188,32.7,0
1,Kurt Busch,17,35,35,35,2,35,29.9,13,59,46,9,15.25,5,9,3.1,0,0.0,106,41.1,2
41,Cole Custer,24,36,36,36,13,36,31.4,-8,41,49,6,14.63,6,18,6.1,0,0.0,97,42.6,1
10,Aric Almirola,27,37,37,37,26,31,36.9,1,8,7,0,0,0,0,0.0,0,0.0,5,24.7,1
