Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
18,Kyle Busch,9,7,3,1,1,14,3.7,10,56,46,46,82.14,22,267,100.0,20,7.5,267,126.8,59
4,Kevin Harvick,4,12,18,2,2,21,7.4,17,86,69,58,67.44,2,250,93.6,0,0.0,267,110.2,40
2,Brad Keselowski,1,8,5,3,1,15,4.2,4,66,62,53,80.3,18,267,100.0,72,27.0,267,121.7,48
21,Matt DiBenedetto,5,17,12,4,3,23,12.1,-4,102,106,63,61.76,0,219,82.0,0,0.0,267,91.0,33
9,Chase Elliott,17,10,7,5,3,21,8.6,11,106,95,77,72.64,5,256,95.9,0,0.0,267,103.1,43
19,Martin Truex Jr,15,11,13,6,2,25,9.1,3,95,92,60,63.16,2,266,99.6,0,0.0,267,93.8,35
8,Tyler Reddick,11,14,20,7,2,24,9.7,-6,86,92,62,72.09,12,236,88.4,0,0.0,267,97.9,41
17,Chris Buescher,16,23,17,8,1,25,17.0,-11,79,90,24,30.38,1,53,19.9,13,4.9,267,79.4,29
24,William Byron,2,18,10,9,1,27,10.1,0,98,98,53,54.08,17,199,74.5,0,0.0,267,98.0,34
3,Austin Dillon,6,19,9,10,5,29,12.6,8,107,99,61,57.01,1,210,78.7,0,0.0,267,85.2,27
99,Daniel Suarez,21,4,19,11,2,30,19.6,-3,127,130,27,21.26,1,48,18.0,0,0.0,267,68.4,26
11,Denny Hamlin,20,9,1,12,1,29,8.2,15,96,81,58,60.42,24,233,87.3,7,2.6,267,106.8,35
34,Michael McDowell,3,5,21,13,3,33,20.5,-21,102,123,16,15.69,0,44,16.5,0,0.0,267,64.3,24
42,Ross Chastain,24,21,8,14,3,31,16.4,25,140,115,32,22.86,0,102,38.2,0,0.0,267,78.7,23
1,Kurt Busch,28,16,15,15,6,28,13.2,0,99,99,44,44.44,1,218,81.7,0,0.0,267,81.7,22
6,Ryan Newman,14,31,25,16,11,33,27.7,-2,64,66,3,4.69,4,3,1.1,0,0.0,267,62.0,21
22,Joey Logano,29,20,6,17,3,29,16.8,2,109,107,24,22.02,0,64,24.0,0,0.0,267,71.8,20
48,Alex Bowman,25,24,22,18,12,31,20.6,10,104,94,6,5.77,1,24,9.0,0,0.0,267,66.2,19
5,Kyle Larson,32,3,2,19,1,32,3.2,11,61,50,43,70.49,67,261,97.8,132,49.4,267,126.8,37
14,Chase Briscoe,19,26,24,20,7,33,25.0,6,103,97,5,4.85,0,3,1.1,0,0.0,267,55.3,17
12,Ryan Blaney,7,13,4,21,2,28,7.6,-18,82,100,56,68.29,16,262,98.1,0,0.0,267,94.7,24
33,Austin Cindric,38,22,14,22,10,38,18.8,15,94,79,27,28.72,0,88,33.0,0,0.0,267,67.3,0
38,Anthony Alfredo,22,2,28,23,2,33,24.3,1,112,111,9,8.04,1,26,9.7,0,0.0,266,51.6,14
41,Cole Custer,10,6,27,24,5,31,23.8,-20,84,104,13,15.48,0,27,10.1,0,0.0,266,53.0,13
43,Erik Jones,27,25,26,25,2,35,26.3,9,113,104,7,6.19,0,6,2.3,0,0.0,266,48.0,12
23,Bubba Wallace,13,28,29,26,9,31,21.8,-23,73,96,17,23.29,3,87,32.6,0,0.0,266,67.1,11
7,Corey Lajoie,26,29,30,27,14,32,26.3,-1,85,86,0,0,0,1,0.4,0,0.0,265,47.3,10
20,Christopher Bell,8,15,11,28,3,28,10.9,3,103,100,68,66.02,19,241,90.3,0,0.0,265,80.1,12
10,Aric Almirola,18,27,31,29,17,32,24.7,-6,84,90,0,0,0,0,0.0,0,0.0,264,53.5,8
77,Justin Haley,31,32,32,30,10,35,31.7,-3,13,16,0,0,0,1,0.4,0,0.0,263,39.5,0
78,BJ McLeod,30,33,33,31,29,33,32.8,-8,5,13,0,0,0,0,0.0,0,0.0,260,36.8,0
37,Ryan Preece,12,30,23,32,12,33,27.2,-9,86,95,0,0,2,3,1.1,0,0.0,259,42.8,5
53,Garrett Smithley,36,34,34,33,33,37,34.2,3,14,11,0,0,0,0,0.0,0,0.0,259,35.2,0
47,Ricky Stenhouse Jr,23,1,16,34,1,29,19.2,1,107,106,17,15.89,1,40,15.0,23,8.9,258,58.2,3
15,Joey Gase,35,35,35,35,35,38,36.1,-3,6,9,0,0,0,0,0.0,0,0.0,258,29.0,0
51,Cody Ware,33,36,36,36,31,38,35.4,-3,15,18,0,0,0,0,0.0,0,0.0,257,31.5,0
00,Quin Houff,34,37,37,37,32,38,36.3,-8,7,15,0,0,0,0,0.0,0,0.0,256,28.3,1
55,Matt Mills,39,38,38,38,37,39,38.3,2,5,3,0,0,0,0,0.0,0,0.0,255,24.2,0
52,Josh Bilicki,37,39,39,39,35,39,38.6,-4,5,9,0,0,0,0,0.0,0,0.0,250,24.3,1
