Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
48,Alex Bowman,13,2,2,1,1,17,5.1,19,40,21,40,100,87,500,99.8,9,1.8,501,124.4,52
18,Kyle Busch,7,8,8,2,2,21,8.1,10,50,40,40,80,2,435,86.8,0,0.0,501,105.1,42
2,Brad Keselowski,6,9,4,3,2,14,6.9,8,50,42,49,98,8,501,100.0,0,0.0,501,108.5,43
19,Martin Truex Jr,4,4,6,4,1,13,3.6,-5,27,32,27,100,24,501,100.0,9,1.8,501,117.7,48
24,William Byron,11,3,5,5,2,14,5.3,10,42,32,42,100,21,501,100.0,0,0.0,501,113.1,47
10,Aric Almirola,23,7,7,6,3,26,10.0,25,83,58,69,83.13,14,455,90.8,0,0.0,501,94.4,37
1,Kurt Busch,10,10,10,7,6,26,12.6,4,70,66,55,78.57,0,424,84.6,0,0.0,501,87.3,31
43,Erik Jones,28,17,22,8,8,28,17.7,-5,67,72,22,32.84,0,104,20.8,0,0.0,501,74.7,29
17,Chris Buescher,15,14,14,9,8,20,13.9,-10,57,67,54,94.74,0,360,71.9,0,0.0,501,78.7,28
22,Joey Logano,5,18,9,10,1,21,10.4,-23,51,74,38,74.51,1,386,77.1,9,1.8,501,88.6,29
12,Ryan Blaney,8,13,13,11,5,22,13.6,-6,54,60,36,66.67,0,316,63.1,0,0.0,501,80.0,26
4,Kevin Harvick,9,15,16,12,6,21,13.5,-23,68,91,56,82.35,1,385,76.9,0,0.0,501,80.0,25
3,Austin Dillon,14,21,17,13,1,25,14.8,4,71,67,42,59.15,5,252,50.3,5,1.0,501,84.8,28
5,Kyle Larson,1,11,15,14,1,22,9.1,16,61,45,37,60.66,34,401,80.0,77,15.4,501,98.2,32
21,Matt DiBenedetto,21,24,21,15,13,31,23.8,0,50,50,10,20,0,16,3.2,0,0.0,501,61.3,22
9,Chase Elliott,2,1,3,16,1,22,3.3,11,34,23,18,52.94,97,465,92.8,289,57.7,501,129.6,41
20,Christopher Bell,12,6,11,17,3,22,9.3,5,75,70,56,74.67,4,459,91.6,0,0.0,501,90.3,24
8,Tyler Reddick,18,20,18,18,2,23,18.2,-17,76,93,10,13.16,0,32,6.4,0,0.0,501,65.5,19
47,Ricky Stenhouse Jr,25,12,12,19,10,26,16.4,28,94,66,41,43.62,1,269,53.7,0,0.0,501,70.9,18
38,Anthony Alfredo,32,26,20,20,18,32,24.6,-9,29,38,0,0,0,0,0.0,0,0.0,501,53.2,17
7,Corey Lajoie,29,23,25,21,18,32,25.1,6,31,25,0,0,0,0,0.0,0,0.0,501,50.8,16
14,Chase Briscoe,22,19,19,22,2,23,18.6,-19,81,100,14,17.28,0,36,7.2,0,0.0,501,59.8,15
41,Cole Custer,24,22,23,23,3,30,21.4,-16,53,69,1,1.89,0,13,2.6,0,0.0,501,56.0,14
11,Denny Hamlin,3,5,1,24,1,34,9.5,42,72,30,35,48.61,36,380,75.9,103,20.6,501,92.0,19
23,Bubba Wallace,17,16,24,25,10,25,16.1,-9,60,69,45,75,10,278,55.5,0,0.0,501,68.9,12
34,Michael McDowell,19,27,26,26,19,33,27.0,-9,25,34,0,0,0,0,0.0,0,0.0,499,47.0,11
42,Ross Chastain,16,25,28,27,10,33,24.3,-2,48,50,8,16.67,19,45,9.0,0,0.0,498,59.7,10
99,Daniel Suarez,20,28,27,28,16,32,27.8,-6,35,41,0,0,0,0,0.0,0,0.0,498,46.3,9
78,BJ McLeod,30,30,29,29,28,33,29.9,-5,17,22,0,0,0,0,0.0,0,0.0,496,39.2,0
51,Cody Ware,31,32,30,30,30,37,31.8,0,12,12,0,0,0,0,0.0,0,0.0,495,34.8,0
77,Justin Haley,35,29,31,31,28,35,31.3,-2,26,28,0,0,0,0,0.0,0,0.0,492,36.2,0
6,Ryan Newman,27,31,32,32,26,33,30.7,2,30,28,0,0,19,0,0.0,0,0.0,491,46.0,5
15,Garrett Smithley,37,34,33,33,32,38,33.9,11,22,11,0,0,0,0,0.0,0,0.0,490,30.2,0
00,Quin Houff,36,35,35,34,33,37,35.2,-7,12,19,0,0,0,0,0.0,0,0.0,483,27.5,3
52,Josh Bilicki,33,33,34,35,32,37,34.5,0,19,19,0,0,0,0,0.0,0,0.0,483,30.2,0
37,Ryan Preece,26,37,36,36,12,37,32.8,-15,20,35,0,0,10,1,0.2,0,0.0,414,48.0,1
66,Timmy Hill,38,36,37,37,22,38,33.1,-4,7,11,0,0,0,0,0.0,0,0.0,206,32.0,0
53,Joey Gase,34,38,38,38,31,38,38.0,-5,3,8,0,0,0,0,0.0,0,0.0,10,23.2,0
