Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
23,Bubba Wallace,19,13,14,1,1,28,14.6,14,325,311,126,38.77,2,56,47.9,5,4.3,117,104.7,50
2,Brad Keselowski,7,3,4,2,1,20,6.0,7,229,222,216,94.32,1,115,98.3,13,11.1,117,112.5,52
22,Joey Logano,8,2,9,3,1,22,6.0,11,221,210,192,86.88,1,112,95.7,9,7.7,117,108.9,51
1,Kurt Busch,14,10,16,4,1,36,14.4,-1,283,284,165,58.3,8,73,62.4,9,7.7,117,104.6,42
20,Christopher Bell,12,15,3,5,1,27,11.4,-18,281,299,138,49.11,2,75,64.1,12,10.3,117,104.0,38
17,Chris Buescher,24,1,10,6,1,30,9.7,17,297,280,186,62.63,1,93,79.5,7,6.0,117,103.9,46
11,Denny Hamlin,1,23,5,7,1,38,13.1,-14,227,241,158,69.6,4,71,60.7,6,5.1,117,90.9,34
4,Kevin Harvick,9,4,7,8,1,31,5.9,24,212,188,172,81.13,0,109,93.2,16,13.7,117,116.1,39
43,Erik Jones,26,20,8,9,1,34,15.3,12,329,317,166,50.46,1,63,53.9,0,0.0,117,90.4,30
38,Anthony Alfredo,30,30,6,10,1,37,19.4,44,335,291,100,29.85,2,40,34.2,1,0.9,117,73.9,28
3,Austin Dillon,16,28,11,11,1,37,18.4,-8,312,320,175,56.09,0,53,45.3,0,0.0,117,75.3,26
19,Martin Truex Jr,6,17,18,12,1,32,14.4,-17,319,336,160,50.16,2,63,53.9,2,1.7,117,84.5,25
41,Cole Custer,28,19,17,13,1,34,14.8,22,312,290,147,47.12,2,62,53.0,7,6.0,117,94.0,24
14,Chase Briscoe,17,39,19,14,1,39,26.5,22,276,254,59,21.38,2,14,12.0,0,0.0,117,58.1,23
12,Ryan Blaney,4,5,13,15,1,24,9.8,-22,227,249,148,65.2,0,93,79.5,0,0.0,117,94.8,27
47,Ricky Stenhouse Jr,21,11,1,16,1,36,16.5,41,368,327,140,38.04,5,51,43.6,10,8.6,117,74.9,21
34,Michael McDowell,22,35,21,17,4,40,25.1,30,259,229,65,25.1,5,21,18.0,0,0.0,117,57.4,20
9,Chase Elliott,3,7,2,18,1,27,11.3,8,309,301,203,65.7,0,89,76.1,0,0.0,117,89.2,23
00,Quin Houff,35,18,26,19,3,38,25.3,35,206,171,1,0.49,2,2,1.7,0,0.0,117,69.4,18
16,Justin Haley,38,21,28,20,1,38,20.3,-39,221,260,66,29.86,4,31,26.5,4,3.4,117,64.3,0
6,Ryan Newman,25,31,25,21,6,40,29.4,-11,82,93,0,0,1,6,5.1,0,0.0,117,46.5,16
7,Corey Lajoie,29,14,29,22,1,37,23.2,-13,253,266,48,18.97,5,28,23.9,0,0.0,117,58.6,15
99,Daniel Suarez,18,26,27,23,3,37,30.5,-23,79,102,5,6.33,2,5,4.3,0,0.0,117,45.3,14
96,Landon Cassill,40,24,22,24,3,40,27.2,-20,122,142,1,0.82,0,0,0.0,0,0.0,117,48.8,0
53,Joey Gase,36,29,23,25,8,40,29.3,-22,58,80,0,0,1,8,6.8,0,0.0,117,39.0,0
10,Aric Almirola,20,22,24,26,2,36,23.7,-33,141,174,42,29.79,4,16,13.7,0,0.0,117,52.2,11
18,Kyle Busch,2,16,33,27,1,34,16.5,-46,250,296,138,55.2,1,63,53.9,4,3.4,117,65.7,10
51,Cody Ware,31,27,30,28,1,38,27.1,-10,124,134,10,8.06,1,15,12.8,4,3.4,117,44.4,0
15,Garrett Smithley,37,38,31,29,2,40,35.0,-14,27,41,0,0,0,2,1.7,0,0.0,117,31.3,0
78,BJ McLeod,32,32,34,30,7,36,29.9,-28,61,89,0,0,2,7,6.0,0,0.0,117,37.1,0
52,Josh Bilicki,34,36,32,31,1,40,33.6,-21,47,68,0,0,0,1,0.9,0,0.0,117,32.0,6
37,Ryan Preece,27,33,15,32,3,36,23.3,42,313,271,66,21.09,5,19,16.2,0,0.0,116,58.6,5
42,Ross Chastain,23,9,35,33,1,36,20.8,23,281,258,95,33.81,5,41,35.0,0,0.0,116,63.4,7
66,James Davison,39,37,36,34,34,40,38.3,-2,13,15,0,0,2,0,0.0,0,0.0,116,29.6,3
21,Matt DiBenedetto,15,25,20,35,1,36,26.1,-20,152,172,62,40.79,1,20,17.1,2,1.7,115,46.8,2
24,William Byron,10,12,12,36,1,31,15.9,-11,343,354,158,46.06,3,70,59.8,0,0.0,115,64.3,1
5,Kyle Larson,5,34,37,37,1,39,26.6,-3,188,191,82,43.62,3,28,23.9,3,2.7,113,60.8,1
48,Alex Bowman,11,8,38,38,1,28,17.0,11,289,278,171,59.17,1,61,52.1,1,1.0,97,74.2,2
8,Tyler Reddick,13,6,39,39,1,35,19.0,6,254,248,129,50.79,2,59,50.4,2,2.1,97,58.1,7
77,Justin Allgaier,33,40,40,40,5,40,29.9,12,227,215,70,30.84,1,20,17.1,0,0.0,55,44.5,0
