Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
5,Kyle Larson,1,4,1,1,1,6,2.3,1,33,32,31,93.94,36,267,100.0,130,48.7,267,141.4,58
9,Chase Elliott,5,3,4,2,1,27,3.4,5,62,57,57,91.94,37,266,99.6,42,15.7,267,124.0,52
4,Kevin Harvick,11,7,2,3,1,32,5.4,15,79,64,69,87.34,7,263,98.5,0,0.0,267,113.2,45
1,Kurt Busch,13,5,3,4,1,30,5.7,10,73,63,59,80.82,16,258,96.6,4,1.5,267,112.0,47
11,Denny Hamlin,6,10,5,5,3,14,6.9,5,70,65,63,90,4,267,100.0,0,0.0,267,104.8,41
24,William Byron,9,2,7,6,1,14,3.5,22,76,54,67,88.16,47,267,100.0,57,21.4,267,124.1,50
19,Martin Truex Jr,7,6,6,7,4,36,13.6,-14,93,107,48,51.61,14,175,65.5,0,0.0,267,101.9,30
20,Christopher Bell,10,14,8,8,5,38,15.4,-2,93,95,57,61.29,17,183,68.5,0,0.0,267,93.0,29
22,Joey Logano,8,1,9,9,1,28,7.8,-6,61,67,51,83.61,4,266,99.6,22,8.2,267,99.3,28
3,Austin Dillon,14,13,11,10,7,39,14.9,5,101,96,59,58.42,1,195,73.0,0,0.0,267,81.7,27
48,Alex Bowman,25,8,10,11,5,29,9.6,13,78,65,54,69.23,2,253,94.8,0,0.0,267,92.7,34
17,Chris Buescher,21,19,15,12,12,35,17.2,0,73,73,18,24.66,1,91,34.1,0,0.0,267,74.7,25
42,Ross Chastain,24,12,13,13,4,24,12.3,21,83,62,60,72.29,0,252,94.4,0,0.0,267,84.5,28
23,Bubba Wallace,27,11,16,14,6,38,15.0,29,90,61,30,33.33,1,186,69.7,0,0.0,267,80.4,25
99,Daniel Suarez,16,20,12,15,9,32,20.6,-8,76,84,25,32.89,0,59,22.1,0,0.0,267,69.7,22
34,Michael McDowell,18,18,17,16,14,38,21.7,-1,65,66,3,4.62,1,1,0.4,0,0.0,266,59.1,21
2,Brad Keselowski,3,22,20,17,1,39,22.5,-12,61,73,11,18.03,12,36,13.5,2,0.8,266,68.7,20
41,Cole Custer,22,17,18,18,6,24,16.2,5,71,66,29,40.85,0,107,40.1,0,0.0,266,73.8,19
14,Chase Briscoe,19,28,19,19,3,37,21.5,15,78,63,12,15.38,0,52,19.5,0,0.0,266,66.7,18
96,Parker Kligerman,40,21,21,20,3,40,20.0,3,60,57,8,13.33,0,10,3.8,0,0.0,266,62.0,0
37,Ryan Preece,32,32,22,21,21,39,26.9,-1,57,58,0,0,4,0,0.0,0,0.0,265,53.1,16
8,Tyler Reddick,12,9,14,22,1,35,12.5,-4,91,95,47,51.65,8,197,73.8,6,2.3,265,82.1,21
21,Matt DiBenedetto,15,27,24,23,1,34,21.2,-12,74,86,5,6.76,2,33,12.4,4,1.5,265,67.1,14
47,Ricky Stenhouse Jr,28,23,23,24,18,32,25.2,7,57,50,0,0,1,0,0.0,0,0.0,265,52.6,13
7,Corey Lajoie,23,29,25,25,21,33,27.8,-10,47,57,0,0,0,0,0.0,0,0.0,263,46.0,12
10,Aric Almirola,20,25,26,26,2,36,24.0,-17,70,87,7,10,1,15,5.6,0,0.0,263,52.1,11
6,Ryan Newman,31,26,27,27,15,33,24.0,4,76,72,1,1.32,4,3,1.1,0,0.0,263,55.8,10
18,Kyle Busch,4,30,28,28,4,39,21.6,1,79,78,32,40.51,2,103,38.6,0,0.0,261,64.5,11
43,Erik Jones,17,24,29,29,11,31,22.6,-9,70,79,8,11.43,1,10,3.8,0,0.0,260,58.2,8
78,BJ McLeod,26,36,30,30,26,40,34.6,-10,14,24,0,0,0,0,0.0,0,0.0,259,32.5,0
51,Cody Ware,36,33,31,31,2,36,32.0,3,19,16,0,0,0,2,0.8,0,0.0,258,38.7,0
53,Joey Gase,39,38,32,32,6,39,35.2,-1,24,25,0,0,0,1,0.4,0,0.0,256,31.0,0
52,Josh Bilicki,30,37,33,33,7,38,34.0,-4,24,28,0,0,0,1,0.4,0,0.0,256,35.3,0
13,David Starr,38,34,34,34,4,39,36.0,2,31,29,0,0,0,1,0.4,0,0.0,255,32.2,0
00,Quin Houff,35,39,35,35,12,40,36.2,2,22,20,0,0,0,1,0.4,0,0.0,255,32.0,2
15,Ryan Ellis,34,35,36,36,15,39,36.6,-6,20,26,0,0,0,1,0.4,0,0.0,254,29.8,0
12,Ryan Blaney,2,15,37,37,2,27,14.2,-19,58,77,42,72.41,2,175,65.5,0,0.0,224,75.2,1
38,Anthony Alfredo,29,16,38,38,14,37,28.1,-1,56,57,4,7.14,0,7,2.6,0,0.0,171,41.2,1
77,Justin Haley,33,31,39,39,24,39,32.5,-12,31,43,0,0,0,0,0.0,0,0.0,165,36.7,0
66,Chad Finchum,37,40,40,40,8,40,39.5,-6,5,11,0,0,0,1,0.4,0,0.0,47,24.2,0
