Car,Driver,StartPos,MidRace,CloserPos,FinishPos,HighPos,LowPos,AvgPos,PassDiff,GreenPass,GreenPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsTop15,PercentLapsTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Pts
11,Denny Hamlin,6,2,1,1,1,19,2.4,9,46,37,43,93.48,32,265,99.3,137,51.3,267,140.4,58
9,Chase Elliott,11,25,2,2,1,25,7.2,-4,76,80,54,71.05,29,240,89.9,1,0.4,267,119.1,40
18,Kyle Busch,10,3,4,3,1,19,4.5,15,77,62,66,85.71,31,261,97.8,2,0.8,267,118.5,52
19,Martin Truex Jr,4,8,3,4,1,25,8.7,20,83,63,53,63.86,3,240,89.9,1,0.4,267,99.1,41
12,Ryan Blaney,2,4,6,5,1,22,6.8,-4,69,73,47,68.12,12,246,92.1,8,3.0,267,109.3,39
8,Tyler Reddick,13,5,5,6,1,14,6.3,6,56,50,51,91.07,20,267,100.0,5,1.9,267,104.7,43
2,Brad Keselowski,8,12,8,7,1,21,9.9,3,78,75,59,75.64,6,254,95.1,4,1.5,267,92.5,35
1,Kurt Busch,20,9,9,8,2,32,11.7,18,86,68,51,59.3,1,190,71.2,0,0.0,267,85.4,33
4,Kevin Harvick,5,11,7,9,3,20,8.7,-2,76,78,66,86.84,3,261,97.8,0,0.0,267,95.0,34
5,Kyle Larson,1,1,11,10,1,21,6.9,-8,79,87,63,79.75,43,231,86.5,95,35.6,267,113.4,37
22,Joey Logano,9,10,10,11,3,32,11.8,15,82,67,56,68.29,1,217,81.3,0,0.0,267,83.2,32
21,Matt DiBenedetto,14,7,13,12,3,24,11.4,-4,81,85,48,59.26,3,203,76.0,0,0.0,267,88.4,27
3,Austin Dillon,15,14,16,13,1,23,13.4,5,74,69,51,68.92,5,198,74.2,7,2.6,266,78.8,26
14,Chase Briscoe,19,18,12,14,5,25,16.1,2,73,71,33,45.21,1,137,51.3,0,0.0,266,74.7,23
99,Daniel Suarez,26,19,14,15,8,33,19.9,4,86,82,26,30.23,1,88,33.0,0,0.0,266,62.6,22
23,Bubba Wallace,21,15,15,16,8,25,16.8,-9,77,86,24,31.17,0,75,28.1,0,0.0,266,68.5,22
47,Ricky Stenhouse Jr,22,23,18,17,4,31,20.8,5,77,72,10,12.99,1,16,6.0,0,0.0,266,60.1,20
24,William Byron,3,24,21,18,1,31,11.1,15,126,111,66,52.38,21,175,65.5,7,2.6,266,99.0,25
10,Aric Almirola,17,16,17,19,8,34,19.9,8,74,66,7,9.46,0,39,14.6,0,0.0,266,60.5,18
6,Ryan Newman,29,17,19,20,12,29,19.8,1,55,54,9,16.36,0,15,5.6,0,0.0,266,61.7,17
34,Michael McDowell,23,22,20,21,7,29,20.8,-8,61,69,6,9.84,3,14,5.2,0,0.0,266,54.4,16
48,Alex Bowman,7,6,23,22,3,29,14.1,-22,91,113,52,57.14,6,170,63.7,0,0.0,265,77.9,15
42,Ross Chastain,18,21,22,23,11,29,20.6,4,78,74,16,20.51,3,13,4.9,0,0.0,265,63.4,14
20,Christopher Bell,12,26,25,24,5,33,22.8,8,81,73,23,28.4,3,40,15.0,0,0.0,265,63.0,13
17,Chris Buescher,25,13,26,25,12,32,23.3,-14,95,109,19,20,6,47,17.6,0,0.0,265,55.6,12
43,Erik Jones,16,20,24,26,5,30,19.8,-17,79,96,35,44.3,3,99,37.1,0,0.0,265,66.7,11
38,Anthony Alfredo,32,30,28,27,22,32,28.0,1,57,56,0,0,1,0,0.0,0,0.0,265,46.7,10
37,Ryan Preece,24,28,29,28,18,31,26.4,-9,55,64,0,0,0,0,0.0,0,0.0,265,46.8,9
41,Cole Custer,28,27,27,29,16,30,27.1,-12,51,63,0,0,2,0,0.0,0,0.0,265,42.1,8
7,Corey Lajoie,27,29,30,30,25,32,28.7,-5,41,46,0,0,1,0,0.0,0,0.0,264,43.2,7
51,Cody Ware,35,31,31,31,6,36,30.9,-2,10,12,0,0,0,2,0.8,0,0.0,260,37.5,0
77,Justin Haley,33,32,32,32,9,33,31.6,-1,10,11,0,0,0,1,0.4,0,0.0,260,38.5,0
78,BJ McLeod,34,33,33,33,4,34,32.8,-2,6,8,0,0,0,1,0.4,0,0.0,257,34.2,0
00,Quin Houff,36,36,34,34,34,36,35.1,-2,4,6,0,0,0,0,0.0,0,0.0,255,29.8,3
53,Garrett Smithley,30,35,35,35,29,35,34.6,-7,6,13,0,0,0,0,0.0,0,0.0,254,31.0,0
52,Josh Bilicki,31,34,36,36,31,36,35.2,-7,5,12,0,0,0,0,0.0,0,0.0,252,28.7,1
15,Joey Gase,37,37,37,37,37,38,37.3,0,1,1,0,0,0,0,0.0,0,0.0,84,24.3,0
66,JJ Yeley,38,38,38,38,37,38,37.7,-1,2,3,0,0,0,0,0.0,0,0.0,76,24.2,0
